kind	name	fillColor	label	w	h	category
azure	ai_studio	ai_machine_learning/AI_Studio.svg	AI Studio	64	68	AIMachineLearning
azure	anomaly_detector	ai_machine_learning/Anomaly_Detector.svg	Anomaly Detector	68	68	AIMachineLearning
azure	azure_applied_ai	ai_machine_learning/Azure_Applied_AI.svg	Applied AI	68	52	AIMachineLearning
azure	batch_ai	ai_machine_learning/Batch_AI.svg	Batch AI	48	68	AIMachineLearning
azure	bonsai	ai_machine_learning/Bonsai.svg	Bonsai	68	66	AIMachineLearning
azure	bot_services	ai_machine_learning/Bot_Services.svg	Bot Services	68	68	AIMachineLearning
azure	computer_vision	ai_machine_learning/Computer_Vision.svg	Computer Vision	68	68	AIMachineLearning
azure	cognitive_services	ai_machine_learning/Cognitive_Services.svg	Cognitive Services	68	48	AIMachineLearning
azure	content_moderators	ai_machine_learning/Content_Moderators.svg	Content Moderators	68	63	AIMachineLearning
azure	custom_vision	ai_machine_learning/Custom_Vision.svg	Custom Vision	68	68	AIMachineLearning
azure	azure_experimentation_studio	ai_machine_learning/Azure_Experimentation_Studio.svg	Experimentation Studio	68	56	AIMachineLearning
azure	face_apis	ai_machine_learning/Face_APIs.svg	Face APIs	68	68	AIMachineLearning
azure	form_recognizers	ai_machine_learning/Form_Recognizers.svg	Form Recognizers	63	68	AIMachineLearning
azure	genomics	ai_machine_learning/Genomics.svg	Genomics	36	68	AIMachineLearning
azure	immersive_readers	ai_machine_learning/Immersive_Readers.svg	Immersive Readers	68	68	AIMachineLearning
azure	language_services	ai_machine_learning/Language_Services.svg	Language	68	68	AIMachineLearning
azure	cognitive_services_decisions	ai_machine_learning/Cognitive_Services_Decisions.svg	Cognitive Services Decisions	68	68	AIMachineLearning
azure	content_safety	ai_machine_learning/Content_Safety.svg	Content Safety	68	68	AIMachineLearning
azure	language_understanding	ai_machine_learning/Language_Understanding.svg	Language Understanding	68	68	AIMachineLearning
azure	machine_learning	ai_machine_learning/Machine_Learning.svg	Machine Learning	64	68	AIMachineLearning
azure	machine_learning_studio_classic_web_services	ai_machine_learning/Machine_Learning_Studio_Classic_Web_Services.svg	Machine Learning Studio - Classic Web Services	68	68	AIMachineLearning
azure	machine_learning_studio_web_service_plans	ai_machine_learning/Machine_Learning_Studio_Web_Service_Plans.svg	Machine Learning Studio - Web Service Plans	68	68	AIMachineLearning
azure	machine_learning_studio_workspaces	ai_machine_learning/Machine_Learning_Studio_Workspaces.svg	Machine Learning Studio - Workspaces	68	68	AIMachineLearning
azure	azure_object_understanding	ai_machine_learning/Azure_Object_Understanding.svg	Object Understanding	68	68	AIMachineLearning
azure	azure_openai	ai_machine_learning/Azure_OpenAI.svg	OpenAI	68	68	AIMachineLearning
azure	personalizers	ai_machine_learning/Personalizers.svg	Personalizers	68	55	AIMachineLearning
azure	qna_makers	ai_machine_learning/QnA_Makers.svg	QnA Makers	68	68	AIMachineLearning
azure	serverless_search	ai_machine_learning/Serverless_Search.svg	Serverless Search	68	68	AIMachineLearning
azure	speech_services	ai_machine_learning/Speech_Services.svg	Speech Services	68	68	AIMachineLearning
azure	translator_text	ai_machine_learning/Translator_Text.svg	Translator Text	68	68	AIMachineLearning
azure	analysis_services	analytics/Analysis_Services.svg	Analysis Services	63	48	Analytics
azure	data_lake_analytics	analytics/Data_Lake_Analytics.svg	Data Lake Analytics	68	68	Analytics
azure	data_lake_store_gen1	analytics/Data_Lake_Store_Gen1.svg	Data Lake Store Gen1	64	52	Analytics
azure	azure_databricks	analytics/Azure_Databricks.svg	Databricks	63	68	Analytics
azure	endpoint_analytics	analytics/Endpoint_Analytics.svg	Endpoint Analytics	68	68	Analytics
azure	event_hub_clusters	analytics/Event_Hub_Clusters.svg	Event Hub Clusters	64	52	Analytics
azure	event_hubs	analytics/Event_Hubs.svg	Event Hubs	67	60	Analytics
azure	hd_insight_clusters	analytics/HD_Insight_Clusters.svg	HD Insight Clusters	63	62	Analytics
azure	log_analytics_workspaces	analytics/Log_Analytics_Workspaces.svg	Log Analytics Workspaces	64	64	Analytics
azure	power_bi_embedded	analytics/Power_BI_Embedded.svg	Power BI Embedded	51	68	Analytics
azure	power_platform	analytics/Power_Platform.svg	Power Platform	65	68	Analytics
azure	stream_analytics_jobs	analytics/Stream_Analytics_Jobs.svg	Stream Analytics Jobs	68	58	Analytics
azure	azure_synapse_analytics	analytics/Azure_Synapse_Analytics.svg	Synapse Analytics	60	69	Analytics
azure	azure_workbooks	analytics/Azure_Workbooks.svg	Workbooks	68	68	Analytics
azure	api_management_services	app_services/API_Management_Services.svg	API Management Services	65	60	AppServices
azure	app_service_certificates	app_services/App_Service_Certificates.svg	App Service Certificates	70	64	AppServices
azure	app_service_domains	app_services/App_Service_Domains.svg	App Service Domains	65	52	AppServices
azure	app_service_environments	app_services/App_Service_Environments.svg	App Service Environments	64	64	AppServices
azure	app_service_plans	app_services/App_Service_Plans.svg	App Service Plans	64	64	AppServices
azure	app_services	app_services/App_Services.svg	App Services	64	64	AppServices
azure	cdn_profiles	app_services/CDN_Profiles.svg	CDN Profiles	68	40	AppServices
azure	notification_hubs	app_services/Notification_Hubs.svg	Notification Hubs	67	56	AppServices
azure	search_services	app_services/Search_Services.svg	Search Services	72	52	AppServices
azure	applens	azure_ecosystem/Applens.svg	Applens	68	68	Ecosystem
azure	collaborative_service	azure_ecosystem/Collaborative_Service.svg	Collaborative Service	68	67	Ecosystem
azure	azure_hybrid_center	azure_ecosystem/Azure_Hybrid_Center.svg	Hybrid Center	68	48	Ecosystem
azure	capacity	azure_stack/Capacity.svg	Capacity	63	68	AzureStack
azure	infrastructure_backup	azure_stack/Infrastructure_Backup.svg	Infrastructure Backup	60	69	AzureStack
azure	multi_tenancy	azure_stack/Multi_Tenancy.svg	Multi Tenancy	68	65	AzureStack
azure	offers	azure_stack/Offers.svg	Offers	65	64	AzureStack
azure	plans	azure_stack/Plans.svg	Plans	52	64	AzureStack
azure	azure_stack	azure_stack/Azure_Stack.svg	Stack	62	64	AzureStack
azure	updates	azure_stack/Updates.svg	Updates	68	67	AzureStack
azure	user_subscriptions	azure_stack/User_Subscriptions.svg	User Subscriptions	68	66	AzureStack
azure	avs	azure_vmware_solution/AVS.svg	AVS	70	56	AzureVMwareSolution
azure	abs_member	blockchain/ABS_Member.svg	ABS Member	56	65	Blockchain
azure	blockchain_applications	blockchain/Blockchain_Applications.svg	Blockchain Applications	48	68	Blockchain
azure	azure_blockchain_service	blockchain/Azure_Blockchain_Service.svg	Blockchain Service	68	68	Blockchain
azure	consortium	blockchain/Consortium.svg	Consortium	68	68	Blockchain
azure	outbound_connection	blockchain/Outbound_Connection.svg	Outbound Connection	71	64	Blockchain
azure	azure_token_service	blockchain/Azure_Token_Service.svg	Token Service	59	68	Blockchain
azure	app_services_compute	compute/App_Services.svg	App Services	64	64	Compute
azure	application_group	compute/Application_Group.svg	Application Group	68	68	Compute
azure	automanaged_vm	compute/Automanaged_VM.svg	Automanaged VM	68	62	Compute
azure	availability_sets	compute/Availability_Sets.svg	Availability Sets	68	68	Compute
azure	batch_accounts	compute/Batch_Accounts.svg	Batch Accounts	68	64	Compute
azure	cloud_services_classic	compute/Cloud_Services_Classic.svg	Cloud Services (Classic)	72	52	Compute
azure	azure_compute_galleries	compute/Azure_Compute_Galleries.svg	Compute Galleries	68	68	Compute
azure	container_instances	compute/Container_Instances.svg	Container Instances	64	68	Compute
azure	container_services_deprecated	compute/Container_Services_Deprecated.svg	Container Services (deprecated)	68	60	Compute
azure	disk_encryption_sets	compute/Disk_Encryption_Sets.svg	Disk Encryption Sets	68	68	Compute
azure	disks	compute/Disks.svg	Disks	57	56	Compute
azure	disks_snapshots	compute/Disks_Snapshots.svg	Disks Snapshots	68	71	Compute
azure	function_apps	compute/Function_Apps.svg	Function Apps	68	60	Compute
azure	host_groups	compute/Host_Groups.svg	Host Groups	62	68	Compute
azure	host_pools	compute/Host_Pools.svg	Host Pools	68	68	Compute
azure	hosts	compute/Hosts.svg	Hosts	57	68	Compute
azure	image_definitions	compute/Image_Definitions.svg	Image Definitions	66	64	Compute
azure	image_templates	compute/Image_Templates.svg	Image Templates	68	60	Compute
azure	image_versions	compute/Image_Versions.svg	Image Versions	67	64	Compute
azure	images	compute/Images.svg	Images	69	64	Compute
azure	kubernetes_services	compute/Kubernetes_Services.svg	Kubernetes Services	68	60	Compute
azure	maintenance_configuration	compute/Maintenance_Configuration.svg	Maintenance Configuration	68	64	Compute
azure	managed_service_fabric	compute/Managed_Service_Fabric.svg	Managed Service Fabric	68	66	Compute
azure	mesh_applications	compute/Mesh_Applications.svg	Mesh Applications	68	68	Compute
azure	metrics_advisor	compute/Metrics_Advisor.svg	Metrics Advisor	55	68	Compute
azure	os_images_classic	compute/OS_Images_Classic.svg	OS Images (Classic)	69	64	Compute
azure	restore_points	compute/Restore_Points.svg	Restore Points	68	67	Compute
azure	restore_points_collections	compute/Restore_Points_Collections.svg	Restore Points Collections	68	56	Compute
azure	service_fabric_clusters	compute/Service_Fabric_Clusters.svg	Service Fabric Clusters	67	64	Compute
azure	shared_image_galleries	compute/Shared_Image_Galleries.svg	Shared Image Galleries	64	64	Compute
azure	azure_spring_cloud	compute/Azure_Spring_Cloud.svg	Spring Cloud	68	68	Compute
