kind	name	fillColor	label	w	h	category
service	activate	#C925D1	Activate	78	78	CustomerEnablement
service	alexa_for_business	#DD344C	Alexa for Business	78	78	BusinessApplications
service	amplify	#DD344C	Amplify	78	78	FrontEndWebMobile
service	analytics	#8C4FFF	Analytics	78	78	Analytics
service	apache_mxnet_on_aws	#01A88D	Apache MXNet on AWS	78	78	ArtificialIntelligence
service	api_gateway	#E7157B	API Gateway	78	78	ApplicationIntegration
service	app_config	#E7157B	App Config	78	78	ManagementGovernance
service	app_mesh	#8C4FFF	App Mesh	78	78	NetworkContentDelivery
service	app_runner	#ED7100	App Runner	78	78	Compute
service	app_studio	#01A88D	App Studio	78	78	ArtificialIntelligence
service	app_wizard	#E7157B	Launch Wizard	78	78	ManagementGovernance
service	appfabric	#DD344C	AppFabric	78	78	BusinessApplications
service	appflow	#E7157B	AppFlow	78	78	ApplicationIntegration
service	application_auto_scaling	#E7157B	Application Auto Scaling	78	78	ManagementGovernance
service	application_composer	#C925D1	Infrastructure Composer	78	78	DeveloperTools
service	application_cost_profiler	#7AA116	Application Cost Profiler	78	78	CloudFinancialManagement
service	application_discovery_service	#01A88D	Application Discovery Service	78	78	MigrationModernization
service	application_integration	#E7157B	Application Integration	78	78	ApplicationIntegration
service	application_recovery_controller	#8C4FFF	Application Recovery Controller	78	78	NetworkContentDelivery
service	appstream_20	#01A88D	Appstream 2.0	78	78	EndUserComputing
service	appsync	#E7157B	AppSync	78	78	ApplicationIntegration
service	ar_vr	#BC1356	AR & VR	78	78	ARVR
service	artifact	#DD344C	Artifact	78	78	SecurityIdentityCompliance
service	athena	#8C4FFF	Athena	78	78	Analytics
service	audit_manager	#DD344C	Audit Manager	78	78	SecurityIdentityCompliance
service	augmented_ai	#01A88D	Augmented AI	78	78	ArtificialIntelligence
service	aurora	#C925D1	Aurora	78	78	Database
service	auto_scaling2	#ED7100	EC2 Auto Scaling	78	78	Compute
service	auto_scaling3	#ED7100	Auto Scaling	78	78	Compute
service	autoscaling	#E7157B	Auto Scaling	78	78	ManagementGovernance
service	b2b_data_interchange	#E7157B	B2B Data Interchange	78	78	ApplicationIntegration
service	backint_agent	#E7157B	Backint Agent	78	78	ManagementGovernance
service	backup	#7AA116	Backup	78	78	Storage
service	batch	#ED7100	Batch	78	78	Compute
service	bedrock	#01A88D	Bedrock	78	78	ArtificialIntelligence
service	bedrock_agentcore	#01A88D	Bedrock AgentCore	78	78	ArtificialIntelligence
service	blockchain	#ED7100	Blockchain	78	78	Blockchain
service	bottlerocket	#ED7100	Bottlerocket	78	78	Compute
service	braket	#ED7100	Braket	78	78	QuantumTechnologies
service	budgets_2	#7AA116	Budgets	78	78	CloudFinancialManagement
service	business_application	#DD344C	Business Application	78	78	BusinessApplications
service	certificate_manager_3	#DD344C	Certificate Manager	78	78	SecurityIdentityCompliance
service	chatbot	#E7157B	Chatbot	78	78	ManagementGovernance
service	chime	#DD344C	Chime	78	78	BusinessApplications
service	chime_sdk	#DD344C	Chime SDK	78	78	BusinessApplications
service	clean_rooms	#8C4FFF	Clean Rooms	78	78	Analytics
service	client_vpn	#8C4FFF	Client VPN	78	78	NetworkContentDelivery
service	cloud9	#C925D1	Cloud9	78	78	DeveloperTools
service	cloud_control_api	#C925D1	Cloud Control API	78	78	DeveloperTools
service	cloud_development_kit	#C925D1	Cloud Development Kit	78	78	DeveloperTools
service	cloud_directory	#8C4FFF	Cloud Directory	78	78	NetworkContentDelivery
service	cloud_map	#8C4FFF	Cloud Map	78	78	NetworkContentDelivery
service	cloud_wan	#8C4FFF	Cloud WAN	78	78	NetworkContentDelivery
service	cloudendure_disaster_recovery	#7AA116	Elastic Disaster Recovery	78	78	Storage
service	cloudendure_migration	#01A88D	Application Migration Service	78	78	MigrationModernization
service	cloudformation	#E7157B	CloudFormation	78	78	ManagementGovernance
service	cloudfront	#8C4FFF	CloudFront	78	78	NetworkContentDelivery
service	cloudhsm	#DD344C	CloudHSM	78	78	SecurityIdentityCompliance
service	cloudsearch2	#8C4FFF	CloudSearch	78	78	Analytics
service	cloudshell	#C925D1	CloudShell	78	78	DeveloperTools
service	cloudtrail	#E7157B	CloudTrail	78	78	ManagementGovernance
service	cloudwatch_2	#E7157B	CloudWatch	78	78	ManagementGovernance
service	codeartifact	#C925D1	CodeArtifact	78	78	DeveloperTools
service	codebuild	#C925D1	CodeBuild	78	78	DeveloperTools
service	codecatalyst	#C925D1	CodeCatalyst	78	78	DeveloperTools
service	codecommit	#C925D1	CodeCommit	78	78	DeveloperTools
service	codedeploy	#C925D1	CodeDeploy	78	78	DeveloperTools
service	codeguru	#E7157B	CodeGuru	78	78	ManagementGovernance
service	codeguru_2	#01A88D	CodeGuru	78	78	ArtificialIntelligence
service	codepipeline	#C925D1	CodePipeline	78	78	DeveloperTools
service	codestar	#C925D1	CodeStar	78	78	DeveloperTools
service	codewhisperer	#01A88D	CodeWhisperer	78	78	ArtificialIntelligence
service	cognito	#DD344C	Cognito	78	78	SecurityIdentityCompliance
service	command_line_interface	#C925D1	Command Line Interface	78	78	DeveloperTools
service	comprehend	#01A88D	Comprehend	78	78	ArtificialIntelligence
service	comprehend_medical	#01A88D	Comprehend Medical	78	78	ArtificialIntelligence
service	compute	#ED7100	Compute	78	78	Compute
service	compute_optimizer	#ED7100	Compute Optimizer	78	78	Compute
service	config	#E7157B	Config	78	78	ManagementGovernance
service	connect	#DD344C	Connect	78	78	BusinessApplications
service	contact_center	#DD344C	Contact Center	78	78	ContactCenter
service	containers	#ED7100	Containers	78	78	Containers
service	control_tower	#E7157B	Control Tower	78	78	ManagementGovernance
service	corretto	#C925D1	Corretto	78	78	DeveloperTools
service	cost_and_usage_report	#7AA116	Cost & Usage Report	78	78	CloudFinancialManagement
service	cost_explorer	#7AA116	Cost Explorer	78	78	CloudFinancialManagement
service	cost_management	#7AA116	Cost Management	78	78	CloudFinancialManagement
service	custom_billing_manager	#7AA116	Billing Conductor	78	78	CloudFinancialManagement
service	customer_enablement	#C925D1	Customer Enablement	78	78	CustomerEnablement
service	customer_engagement	#3334B9	Customer Engagement	78	78	CustomerEngagement
service	data_exchange	#8C4FFF	Data Exchange	78	78	Analytics
service	data_pipeline	#8C4FFF	Data Pipeline	78	78	Analytics
service	data_transfer_terminal	#01A88D	Data Transfer Terminal	78	78	MigrationModernization
service	database	#C925D1	Database	78	78	Database
service	database_migration_service	#C925D1	Database Migration Service	78	78	Database
service	datasync	#01A88D	DataSync	78	78	MigrationModernization
service	datazone	#8C4FFF	DataZone	78	78	Analytics
service	deadline_cloud	#ED7100	Deadline Cloud	78	78	MediaServices
service	deep_learning_amis	#01A88D	Deep Learning AMIs	78	78	ArtificialIntelligence
service	deep_learning_containers	#01A88D	Deep Learning Containers	78	78	ArtificialIntelligence
service	deepcomposer	#01A88D	DeepComposer	78	78	ArtificialIntelligence
service	deeplens	#01A88D	DeepLens	78	78	ArtificialIntelligence
service	deepracer	#01A88D	DeepRacer	78	78	ArtificialIntelligence
service	desktop_and_app_streaming	#01A88D	End User Computing	78	78	EndUserComputing
service	detective	#DD344C	Detective	78	78	SecurityIdentityCompliance
service	developer_tools	#C925D1	Developer Tools	78	78	DeveloperTools
service	device_farm	#DD344C	Device Farm	78	78	FrontEndWebMobile
service	devops_agent	#E7157B	DevOps Agent	78	78	ManagementGovernance
service	devops_guru	#01A88D	DevOps Guru	78	78	ArtificialIntelligence
service	direct_connect	#8C4FFF	Direct Connect	78	78	NetworkContentDelivery
service	directory_service	#DD344C	Directory Service	78	78	SecurityIdentityCompliance
service	distro_for_opentelemetry	#E7157B	Distro for OpenTelemetry	78	78	ManagementGovernance
service	documentdb_with_mongodb_compatibility	#C925D1	DocumentDB	78	78	Database
service	dynamodb	#C925D1	DynamoDB	78	78	Database
service	ec2	#ED7100	EC2	78	78	Compute
service	ec2_image_builder	#ED7100	EC2 Image Builder	78	78	Compute
service	ecr	#ED7100	Elastic Container Registry	78	78	Containers
service	ecs	#ED7100	Elastic Container Service	78	78	Containers
service	ecs_anywhere	#ED7100	ECS Anywhere	78	78	Containers
service	efs_infrequentaccess	#7AA116	EFS InfrequentAccess	78	78	Storage
service	efs_standard	#7AA116	EFS Standard	78	78	Storage
service	eks	#ED7100	Elastic Kubernetes Service	78	78	Containers
service	eks_anywhere	#ED7100	EKS Anywhere	78	78	Containers
service	eks_cloud	#ED7100	EKS Cloud	78	78	Containers
service	eks_distro	#ED7100	EKS Distro	78	78	Containers
service	elastic_beanstalk	#ED7100	Elastic Beanstalk	78	78	Compute
service	elastic_block_store	#7AA116	Elastic Block Store	78	78	Storage
service	elastic_fabric_adapter	#ED7100	Elastic Fabric Adapter	78	78	Compute
service	elastic_file_system	#7AA116	Elastic File System	78	78	Storage
service	elastic_inference_2	#01A88D	Elastic Inference	78	78	ArtificialIntelligence
service	elastic_load_balancing	#ED7100	Elastic Load Balancing	78	78	Compute
service	elastic_transcoder	#ED7100	Elastic Transcoder	78	78	MediaServices
service	elastic_vmware_service	#ED7100	Elastic VMware Service	78	78	Compute
service	elasticache	#C925D1	ElastiCache	78	78	Database
